,ETH Total Transactions,Success,Fails,Probability of Failure,,,,
12/1/2022 0:00,5092389,4955758,136631,0.026830433,,0.031136377,,0.035032712
11/1/2022 0:00,31271090,30399735,871355,0.027864555,,,,
10/1/2022 0:00,34122529,32810614,1311915,0.03844718,,,,
9/1/2022 0:00,33739408,32408010,1331398,0.039461214,,,,
8/1/2022 0:00,34901614,33541983,1359631,0.038956107,,,,
7/1/2022 0:00,37174242,35770274,1403968,0.037767226,,,,
6/1/2022 0:00,31083501,29702532,1380969,0.044427717,,,,
5/1/2022 0:00,34955914,33715921,1239993,0.035473053,,,,
4/1/2022 0:00,33599569,32441575,1157994,0.034464549,,,,
3/1/2022 0:00,35990387,34974487,1015900,0.028226982,,,,
2/1/2022 0:00,32739456,31686640,1052816,0.032157407,,,,
1/1/2022 0:00,36851128,35636507,1214621,0.032960212,,,,
12/1/2021 0:00,38300450,37259258,1041192,0.02718485,,,,
11/1/2021 0:00,38922026,37699354,1222672,0.03141337,,,,
10/1/2021 0:00,38939449,37571937,1367512,0.035118936,,,,
9/1/2021 0:00,35609993,34261392,1348601,0.03787142,,,,
8/1/2021 0:00,37250450,35949831,1300619,0.034915525,,,,
7/1/2021 0:00,37469828,35938987,1530841,0.040855298,,,,
6/1/2021 0:00,36198196,35078925,1119271,0.030920629,,,,
5/1/2021 0:00,45055042,43203387,1851655,0.04109762,,,,
4/1/2021 0:00,41756227,40251133,1505094,0.03604478,,,,
3/1/2021 0:00,39236425,37722597,1513828,0.03858221,,,,
2/1/2021 0:00,35578516,34449482,1129034,0.031733589,,,,
1/1/2021 0:00,37490761,36372201,1118560,0.029835617,,,,
12/1/2020 0:00,35930517,34575457,1355060,0.037713345,,,,
11/1/2020 0:00,33785905,32679021,1106884,0.032761709,,,,
10/1/2020 0:00,33297049,31978099,1318950,0.039611618,,,,
9/1/2020 0:00,32848877,31366756,1482121,0.045119381,,,,
8/1/2020 0:00,36679836,35236019,1443817,0.03936269,,,,
7/1/2020 0:00,33896953,33009731,887222,0.026174093,,,,
6/1/2020 0:00,28802843,28198904,603939,0.020968034,,,,
5/1/2020 0:00,26648587,25962319,686268,0.02575251,,,,
4/1/2020 0:00,23211389,22662526,548863,0.02364628,,,,
3/1/2020 0:00,22748700,22199683,549017,0.024133994,,,,
2/1/2020 0:00,19212778,18734958,477820,0.024869907,,,,
1/1/2020 0:00,17703536,17322356,381180,0.021531292,,,,
12/1/2019 0:00,18271815,17936284,335531,0.01836331,,,,
11/1/2019 0:00,20388573,19942286,446287,0.021889075,,,,
10/1/2019 0:00,20954629,20601706,352923,0.016842245,,,,
9/1/2019 0:00,20465806,20066778,399028,0.019497302,,,,
8/1/2019 0:00,22003889,21613782,390107,0.017729002,,,,
7/1/2019 0:00,22892039,22478421,413618,0.018068203,,,,
6/1/2019 0:00,25679653,25025353,654300,0.025479316,,,,
5/1/2019 0:00,24332475,23798734,533741,0.021935335,,,,
4/1/2019 0:00,19830158,19456388,373770,0.018848564,,,,
3/1/2019 0:00,18029582,17554769,474813,0.02633522,,,,
2/1/2019 0:00,13413899,13072819,341080,0.025427357,,,,
1/1/2019 0:00,16569597,16229531,340066,0.020523493,,,,
12/1/2018 0:00,17107601,16736478,371123,0.021693457,,,,
11/1/2018 0:00,16713911,16321501,392410,0.023478048,,,,
10/1/2018 0:00,17056926,16559732,497194,0.029149098,,,,
9/1/2018 0:00,16056742,15663824,392918,0.024470593,,,,
8/1/2018 0:00,19842059,19169641,672418,0.033888519,,,,
7/1/2018 0:00,19937033,19427976,509057,0.025533238,,,,
6/1/2018 0:00,22471788,21714890,756898,0.033682144,,,,
5/1/2018 0:00,25105717,24226418,879299,0.035023855,,,,
4/1/2018 0:00,20876642,20424319,452323,0.021666463,,,,
3/1/2018 0:00,20261862,19773103,488759,0.024122117,,,,
2/1/2018 0:00,22231978,21615995,615983,0.027707071,,,,
1/1/2018 0:00,33504270,32742699,761571,0.022730565,,,,
12/1/2017 0:00,26732085,25855930,876155,0.032775408,,,,
11/1/2017 0:00,15292269,14698046,594223,0.038857739,,,,
10/1/2017 0:00,12602063,11295850,1306213,0.103650728,,,,
9/1/2017 0:00,10679242,10679242,,0,,,,
8/1/2017 0:00,10523178,10523178,,0,,,,
7/1/2017 0:00,7835875,7835875,,0,,,,
6/1/2017 0:00,7244657,7244657,,0,,,,
5/1/2017 0:00,4245516,4245516,,0,,,,
4/1/2017 0:00,2539966,2539966,,0,,,,
3/1/2017 0:00,2426471,2426471,,0,,,,
2/1/2017 0:00,1410048,1410048,,0,,,,
1/1/2017 0:00,1409664,1409664,,0,,,,
12/1/2016 0:00,1316131,1316131,,0,,,,
11/1/2016 0:00,1301586,1301586,,0,,,,
10/1/2016 0:00,1329847,1329847,,0,,,,
9/1/2016 0:00,1387412,1387412,,0,,,,
8/1/2016 0:00,1405743,1405743,,0,,,,
7/1/2016 0:00,1356907,1356907,,0,,,,
6/1/2016 0:00,1351536,1351536,,0,,,,
5/1/2016 0:00,1346796,1346796,,0,,,,
4/1/2016 0:00,1023096,1023096,,0,,,,
3/1/2016 0:00,917170,917170,,0,,,,
2/1/2016 0:00,520040,520040,,0,,,,
1/1/2016 0:00,404816,404816,,0,,,,
12/1/2015 0:00,347092,347092,,0,,,,
11/1/2015 0:00,234733,234733,,0,,,,
10/1/2015 0:00,205045,205045,,0,,,,
9/1/2015 0:00,173805,173805,,0,,,,
8/1/2015 0:00,85609,85609,,0,,,,
